11.824464,	1.315097,	5.413354
11.343864,	1.097788,	5.398561
10.862014,	0.883180,	5.383663
10.377619,	0.670618,	5.368661
9.890075,	0.459554,	5.353556
9.399500,	0.249736,	5.338346
8.906018,	0.040902,	5.323031
8.409750,	-0.167212,	5.307613
7.956276,	-0.356009,	5.293506
7.500685,	-0.544639,	5.279325
7.043064,	-0.733312,	5.265454
6.583502,	-0.922239,	5.252065
6.122086,	-1.111636,	5.239161
5.660646,	-1.300931,	5.226739
5.202130,	-1.488643,	5.214801
4.746438,	-1.674372,	5.203347
4.248260,	-1.875938,	5.191305
3.753128,	-2.074169,	5.179849
3.260860,	-2.268589,	5.168977
2.771289,	-2.458731,	5.158690
2.284257,	-2.644136,	5.148989
1.799623,	-2.824355,	5.139872
1.317259,	-2.998944,	5.131340
0.835801,	-3.167953,	5.123393
0.352751,	-3.332141,	5.116032
-0.131908,	-3.491516,	5.109255
-0.618129,	-3.646057,	5.103063
-1.105864,	-3.795754,	5.097456
-1.595065,	-3.940585,	5.092434
-2.085682,	-4.080544,	5.087997
-2.577668,	-4.215616,	5.084145
-3.070975,	-4.345783,	5.080878
-3.565552,	-4.471032,	5.078196
-4.061350,	-4.591355,	5.076099
-4.558323,	-4.706738,	5.074587
-5.056418,	-4.817171,	5.073660
-5.555588,	-4.922639,	5.073318
-6.055782,	-5.023135,	5.073561
-6.556952,	-5.118649,	5.074389
-7.059049,	-5.209170,	5.075801
-7.562020,	-5.294691,	5.077799
-8.065819,	-5.375201,	5.080382
-8.570393,	-5.450694,	5.083549
-9.075693,	-5.521161,	5.087302
-9.581669,	-5.586597,	5.091640
-10.088273,	-5.646994,	5.096562
-10.595451,	-5.702345,	5.101985
-11.103155,	-5.752645,	5.107470
-11.611336,	-5.797894,	5.112954
-12.119942,	-5.838081,	5.118438
-12.628922,	-5.873206,	5.123923
-13.138226,	-5.903263,	5.129407
-13.648258,	-5.928281,	5.134892
-14.162007,	-5.948617,	5.140376
-14.679980,	-5.964738,	5.145861
-15.202127,	-5.977103,	5.151345
-15.728414,	-5.986187,	5.156830
-16.258812,	-5.992478,	5.162314
-16.793303,	-5.996476,	5.167799
-17.331875,	-5.998692,	5.173283
-17.825022,	-5.999601,	5.178269
-18.321531,	-5.999877,	5.183255
-18.821047,	-5.999922,	5.188241
-19.321047,	-5.999955,	5.193227
-19.821047,	-5.999988,	5.198213
-20.360619,	-6.007215,	5.201994
-20.899216,	-6.045003,	5.204986
-21.434580,	-6.115019,	5.207977
-21.964781,	-6.217012,	5.210969
-22.487913,	-6.350617,	5.213961
-23.002092,	-6.515348,	5.216952
-23.505466,	-6.710618,	5.219944
-23.996225,	-6.935720,	5.222935
-24.472607,	-7.189847,	5.225927
-24.932888,	-7.472082,	5.228918
-25.375418,	-7.781408,	5.231910
-25.798603,	-8.116716,	5.234699
-26.200922,	-8.476795,	5.236435
-26.580921,	-8.860353,	5.237021
-26.937239,	-9.266006,	5.236458
-27.268589,	-9.692297,	5.234746
-27.573782,	-10.137690,	5.231884
-27.851715,	-10.600581,	5.227874
-28.101395,	-11.079306,	5.222713
-28.321917,	-11.572142,	5.216404
-28.512489,	-12.077313,	5.208946
-28.672424,	-12.593004,	5.200338
-28.801149,	-13.117358,	5.190580
-28.898201,	-13.648486,	5.179674
-28.963226,	-14.184480,	5.167618
-28.995995,	-14.723406,	5.154414
-28.999826,	-15.264319,	5.135019
-28.991697,	-15.769373,	5.114500
-28.965254,	-16.287983,	5.097805
-28.916191,	-16.788105,	5.084541
-28.830364,	-17.336945,	5.072243
-28.724543,	-17.815411,	5.062733
-28.590069,	-18.287041,	5.053894
-28.427498,	-18.749737,	5.045726
-28.237417,	-19.201828,	5.038229
-28.020515,	-19.641682,	5.031402
-27.777575,	-20.067707,	5.025247
-27.509474,	-20.478363,	5.019762
-27.217182,	-20.872168,	5.014948
-26.901754,	-21.247698,	5.010805
-26.564331,	-21.603598,	5.007333
-26.206131,	-21.938576,	5.004531
-25.828453,	-22.251429,	5.002401
-25.432657,	-22.541019,	5.000942
-25.020176,	-22.806303,	5.000153
-24.592497,	-23.046324,	5.000000
-24.151169,	-23.260210,	5.000000
-23.697788,	-23.447193,	5.000000
